level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L3 Species,Isopoda,43,43,44,1.0,0.9772727272727273,0.9885057471264368
L3 Species,Larvae,29,29,29,1.0,1.0,1.0
L3 Species,Lepidoptera,5,7,8,0.7142857142857143,0.625,0.6666666666666666
L3 Species,Lepidoptera_fw,5,14,13,0.35714285714285715,0.38461538461538464,0.3703703703703704
L3 Species,Lycaena phlaeas,12,14,13,0.8571428571428571,0.9230769230769231,0.888888888888889
L3 Species,Lycaenidae,14,16,15,0.875,0.9333333333333333,0.9032258064516129
L3 Species,Maniola jurtina,29,33,33,0.8787878787878788,0.8787878787878788,0.8787878787878788
L3 Species,Maniola jurtina_fw,159,189,169,0.8412698412698413,0.9408284023668639,0.888268156424581
L3 Species,Megachilidae,121,128,124,0.9453125,0.9758064516129032,0.9603174603174603
L3 Species,Melanargia galathea,4,4,4,1.0,1.0,1.0
L3 Species,Meliscaeva cinctella,11,11,12,1.0,0.9166666666666666,0.9565217391304348
L3 Species,Milipedes,9,11,9,0.8181818181818182,1.0,0.9
L3 Species,Moths,10,10,11,1.0,0.9090909090909091,0.9523809523809523
L3 Species,Myathropa florea,16,16,16,1.0,1.0,1.0
L3 Species,Nomada,19,21,21,0.9047619047619048,0.9047619047619048,0.9047619047619048
L3 Species,Nymphalidae,2,2,2,1.0,1.0,1.0
L3 Species,Odonata,26,26,26,1.0,1.0,1.0
L3 Species,Odynerus spinipes,126,127,127,0.9921259842519685,0.9921259842519685,0.9921259842519685
L3 Species,Omocestus viridulus,5,9,7,0.5555555555555556,0.7142857142857143,0.6250000000000001
L3 Species,Orthoptera,10,13,12,0.7692307692307693,0.8333333333333334,0.8
L3 Species,Pholidoptera griseoaptera,16,17,18,0.9411764705882353,0.8888888888888888,0.9142857142857143
L3 Species,Pieridae,12,15,13,0.8,0.9230769230769231,0.8571428571428571
L3 Species,Platycheirus,18,22,20,0.8181818181818182,0.9,0.8571428571428572
L3 Species,Pompilidae,30,33,32,0.9090909090909091,0.9375,0.923076923076923
L3 Species,Rhagonycha fulva,65,67,68,0.9701492537313433,0.9558823529411765,0.962962962962963
L3 Species,Sarcophagidae,40,42,41,0.9523809523809523,0.975609756097561,0.963855421686747
L3 Species,Satyrinae_fw,41,50,64,0.82,0.640625,0.7192982456140351
L3 Species,Scaeva,13,14,14,0.9285714285714286,0.9285714285714286,0.9285714285714286
L3 Species,Scaeva pyrastri,14,16,18,0.875,0.7777777777777778,0.823529411764706
L3 Species,Slugs,53,54,59,0.9814814814814815,0.8983050847457628,0.9380530973451328
